,0
negative regulation of cellular respiration,54
negative regulation of T cell proliferation,12
ion transport,157
T cell receptor signaling pathway,24
DNA integration,1576
leukocyte migration,300
modulation by virus of host PP1 activity,54
suppression by virus of host type I interferon-mediated signaling pathway,54
positive regulation of protein secretion,300
virion assembly,550
antigen processing and presentation of peptide or polysaccharide antigen via MHC class II,12
regulation of interleukin-10 secretion,12
establishment of integrated proviral latency,1876
peptide antigen assembly with MHC class II protein complex,12
interferon-gamma-mediated signaling pathway,24
platelet activation,300
blood coagulation,300
cell cycle,157
modulation by virus of host chromatin organization,54
protein peptidyl-prolyl isomerization,300
immune response,24
viral entry into host cell,1733
T-helper 1 type immune response,12
positive regulation of insulin secretion involved in cellular response to glucose stimulus,12
suppression by virus of host gene expression,1576
regulation of viral genome replication,300
evasion or tolerance by virus of host immune response,108
viral process,562
fusion of virus membrane with host endosome membrane,12
apoptotic process,319
viral life cycle,550
T cell costimulation,24
positive regulation of protein localization to nucleus,54
membrane hyperpolarization,54
polysaccharide assembly with MHC class II protein complex,12
cytokine-mediated signaling pathway,24
inflammatory response to antigenic stimulus,12
fusion of virus membrane with host plasma membrane,12
modulation of transcription in other organism involved in symbiotic interaction,54
uncoating of virus,550
humoral immune response mediated by circulating immunoglobulin,12
positive regulation of NF-kappaB transcription factor activity,54
RNA-dependent DNA replication,550
lipid particle organization,300
platelet degranulation,300
viral penetration into host nucleus,1733
antigen processing and presentation of exogenous peptide antigen via MHC class II,24
suppression by virus of G2/M transition of host mitotic cell cycle,157
membrane fusion involved in viral entry into host cell,108
negative regulation of interferon-gamma production,12
entry into host cell,550
cognition,12
clathrin-mediated endocytosis of virus by host cell,12
immunoglobulin production involved in immunoglobulin mediated immune response,12
positive regulation of viral genome replication,300
virion attachment to host cell,120
detection of bacterium,12
"transcription, DNA-templated",211
viral release from host cell,1876
protein tetramerization,12
regulation of interleukin-4 production,12
induction by virus of host cysteine-type endopeptidase activity involved in apoptotic process,1576
DNA recombination,1576
protein folding,300
"regulation of transcription, DNA-templated",157
