,0
extracellular exosome,324
integral component of lumenal side of endoplasmic reticulum membrane,24
clathrin-coated endocytic vesicle membrane,24
integral component of plasma membrane,12
plasma membrane,24
host multivesicular body,1576
host cell nucleolus,54
nucleus,300
lysosome,12
cytosol,300
ER to Golgi transport vesicle membrane,24
host cell nucleus,1733
host cell endosome,108
viral nucleocapsid,1576
extracellular region,354
external side of plasma membrane,12
lysosomal membrane,24
Golgi membrane,24
viral envelope,120
transport vesicle membrane,24
endocytic vesicle membrane,24
host cell cytoplasm,54
extracellular space,300
virion,157
host cell plasma membrane,1696
trans-Golgi network membrane,24
MHC class II protein complex,24
virion membrane,1588
integral component of membrane,120
cell surface,12
late endosome membrane,24
extracellular space of host,157
membrane,300
focal adhesion,300
